QUESTION,ANSWER1,ANSWER2,ANSWER3
"['structure', 'c']","['structure', 'user', '-', 'define', 'data', 'type', 'allow', 'store', 'multiple', 'type', 'datum', 'single', 'unit', '.', 'occupie', 'sum', 'memory', 'member', ',', 'structure', 'member', 'access', 'structure', 'variable', 'structure', 'variable', 'access', 'structure', 'memory', 'allocate', 'variable', 'different', '.']","['structure', '(', 'call', 'struct', ')', 'way', 'group', 'relate', 'variable', 'place', '.', 'variable', 'structure', 'know', 'member', 'structure', '.', 'unlike', 'array', ',', 'structure', 'contain', 'different', 'data', 'type', '.']","['structure', 'user', '-', 'define', 'data', 'type', 'allow', 'group', 'different', 'variable', 'different', 'datum', 'type', 'single', 'unit', '.', 'provide', 'way', 'represent', 'collection', 'relate', 'data', 'item', '.', 'structure', 'define', 'struct', 'keyword', 'follow', 'structure', '.', 'inside', 'structure', ',', 'declare', 'variable', 'different', 'datum', 'type', ',', 'call', 'member', 'field', '.', 'member', 'access', 'manipulate', 'individually', '.']"
"['union', 'c']","['union', 'user', '-', 'define', 'data', 'type', 'allow', 'store', 'multiple', 'type', 'datum', 'single', 'unit', '.', ',', 'occupy', 'sum', 'memory', 'member', '.', 'hold', 'memory', 'large', 'member', '.', 'union', ',', 'access', 'variable', 'time', 'allocate', 'common', 'space', 'member', 'union', '.']","['union', 'special', 'data', 'type', 'available', 'c', 'allow', 'store', 'different', 'datum', 'type', 'memory', 'location', '.', 'define', 'union', 'member', ',', 'member', 'contain', 'value', 'give', 'time', '.', 'union', 'provide', 'efficient', 'way', 'memory', 'location', 'multiple', '-', 'purpose', '.']","['c', ',', 'union', 'user', '-', 'define', 'data', 'type', 'allow', 'store', 'different', 'type', 'datum', 'memory', 'location', '.', 'unlike', 'structure', ',', 'member', 'memory', 'space', ',', 'member', 'union', 'share', 'memory', 'location', '.', 'memory', 'allocate', 'union', 'equal', 'size', 'large', 'member', '.']"
"['purpose', 'sprintf', '(', ')', 'function']","['sprintf', '(', ')', 'stand', '""', 'string', 'print', '.', '""', 'sprintf', '(', ')', 'function', 'print', 'output', 'console', 'screen', '.', 'transfer', 'datum', 'buffer', '.', 'return', 'total', 'number', 'character', 'present', 'string', '.']","['sprintf', '(', ')', 'function', 'c', 'format', 'store', 'format', 'string', 'character', 'array', '.', 'standard', 'c', 'library', '<', 'stdio.h', '>', 'header', '.', 'function', 'take', 'format', 'string', 'argument', ',', 'follow', 'variable', 'number', 'argument', 'format', 'accord', 'format', 'string', '.', 'format', 'string', 'store', 'character', 'array', '.']","['sprintf', 'stand', '""', 'string', 'print', '""', '.', 'c', 'programming', 'language', ',', 'file', 'handling', 'function', 'send', 'formatted', 'output', 'string', '.', 'instead', 'print', 'console', ',', 'sprintf', '(', ')', 'function', 'store', 'output', 'char', 'buffer', 'specify', 'sprintf', '.']"
"['maximum', 'length', 'identifier']","['32', 'character', 'ideally', 'implementation', 'specific', '.']","['c', 'programming', 'language', ',', 'maximum', 'length', 'identifi', '(', 'variable', ',', 'function', ',', 'user', '-', 'define', ')', 'implementation', '-', 'dependent', '.', 'c', 'standard', 'specify', 'specific', 'maximum', 'length', 'identifier', '.', 'modern', 'c', 'compiler', 'practical', 'limitation', 'length', 'identifier', ',', 'typically', 'range', 'character', 'thousand', 'character', '.']","['length', 'identifier', '31', 'character', '.', 'identifier', 'write', 'way', 'meaningful', ',', 'short', ',', 'easy', 'read', '.']"
['typecast'],"['typecast', 'process', 'convert', 'datum', 'type', 'know', 'typecasting', '.', 'want', 'store', 'float', 'type', 'value', 'int', 'type', ',', 'convert', 'data', 'type', 'datum', 'type', 'explicitly', '.']","['type', 'casting', 'basically', 'process', 'c', 'change', 'variable', 'belong', 'data', 'type', '.', 'type', 'casting', ',', 'compiler', 'automatically', 'change', 'data', 'type', 'depend', 'want', 'program', '.']","['typecast', ',', 'know', 'type', 'conversion', ',', 'process', 'change', 'data', 'type', 'variable', 'type', '.', 'c', 'programming', ',', 'typecast', 'allow', 'convert', 'variable', 'data', 'type', 'variable', 'data', 'type', '.']"
"['access', 'array', 'pointer', 'c']","['yes', ',', 'hold', 'base', 'address', 'array', 'pointer', ',', 'access', 'array', 'pointer', '.']","['yes', ',', 'access', 'array', 'pointer', 'c.', 'fact', ',', 'array', 'pointer', 'close', 'relationship', 'c.', 'array', 'declare', ',', 'access', 'pointer', 'element', '.', 'array', 'represent', 'pointer', 'element', 'array', '.', ',', 'use', 'array', 'expression', ',', 'decay', 'pointer', 'element', '.']","['contexts', ',', 'array', 'name', 'decay', 'pointer', '.', 'simple', 'word', ',', 'array', 'name', 'convert', 'pointer', '.', 'reason', 'use', 'pointer', 'access', 'element', 'array', '.', ',', 'remember', 'pointer', 'array', '.', 'case', 'array', 'name', 'decay', 'pointer', '.']"
"['infinite', 'loop']","['loop', 'running', 'continuously', 'indefinite', 'number', 'time']","['infinite', 'loop', 'looping', 'construct', 'terminate', 'loop', 'execute', 'loop', 'forever', '.', 'call', 'indefinite', 'loop', 'endless', 'loop', '.', 'produce', 'continuous', 'output', 'output', '.']","['infinite', 'loop', 'loop', 'program', 'continue', 'execute', 'indefinitely', 'condition', 'terminate', '.', 'word', ',', 'loop', 'keep', 'repeat', 'body', 'exit', 'break', 'loop', '.']"
"['build', '-', 'function', 'c']","['commonly', 'build', '-', 'function', 'c', 'scanf', '(', ')', ',', 'printf', '(', ')', ',', 'strcpy', ',', 'strlwr', ',', 'strcmp', ',', 'strlen', ',', 'strcat', ',', 'etc', '.', 'build', '-', 'function', 'know', 'library', 'function', 'provide', 'system', 'life', 'developer', 'easy', 'assist', 'certain', 'commonly', 'predefine', 'task', '.']","['build', '-', 'function', 'c', 'perform', 'common', 'operation', 'mathematical', 'calculation', ',', 'string', 'manipulation', ',', 'memory', 'allocation', ',', 'input', '/', 'output', 'operation', '.']","['build', '-', 'function', 'refer', 'function', 'provide', 'standard', 'c', 'library', 'language', '.', 'function', 'pre', '-', 'define', 'readily', 'available', 'use', 'c', 'program', 'require', 'additional', 'setup', 'external', 'dependency', '.']"
"['c', 'support', 'function', 'overloading', '?']","['compile', 'c', 'source', ',', 'symbol', 'name', 'need', 'intact', 'object', 'code', '.', 'function', 'overload', 'introduce', 'source', ',', 'programmer', 'provide', 'mangle', 'preventive', 'measure', 'avoid', 'function', 'clash', '.', ',', 'c', 'strictly', 'type', 'language', ',', 'things(ex', ':', 'datum', 'type', ')', 'convertible', 'c.', ',', 'complexity', 'overload', 'resolution', 'introduce', 'confusion', 'language', 'c.']","['c', 'support', 'function', 'overloading', 'follow', 'simple', 'straightforward', 'naming', 'convention', 'function', '.', 'c', ',', 'function', 'uniquely', 'identifie', '.', 'unlike', 'programming', 'language', 'like', 'c++', 'java', ',', 'c', 'consider', 'parameter', 'type', 'number', 'argument', 'resolve', 'function', 'call', '.', 'absence', 'function', 'overload', 'c', 'help', 'language', 'simple', 'avoid', 'potential', 'ambiguity', 'arise', 'overload', 'function', 'name', '.', 'allow', 'c', 'compiler', 'generate', 'efficient', 'predictable', 'code', ',', 'function', 'resolution', 'base', 'solely', 'function', '.']","['c', 'low', '-', 'level', 'language', 'prioritize', 'control', 'efficiency', ',', 'function', 'overloading', 'introduce', 'additional', 'complexity', 'overhead', '.', 'function', 'overloading', 'require', 'compiler', 'perform', 'mangle', 'function', 'signature', 'resolution', 'differentiate', 'different', 'overloaded', 'function', 'base', 'parameter', '.', 'process', 'add', 'extra', 'layer', 'complexity', 'compilation', 'link', 'process', '.', 'omit', 'function', 'overloading', ',', 'c', 'keep', 'language', 'straightforward', 'allow', 'developer', 'clear', 'unambiguous', 'function', 'name', '.']"
"['difference', 'global', 'static', 'int', 'declaration']","['difference', 'scope', '.', 'truly', 'global', 'variable', 'global', 'scope', 'visible', 'program', '.']","['main', 'difference', 'global', 'int', 'variable', 'global', 'scope', 'access', 'program', ',', 'static', 'int', 'variable', 'limited', 'scope', '(', 'local', 'function', 'restrict', 'file', ')', 'retain', 'value', 'function', 'call', '.']","['global', 'int', 'declaration', 'create', 'variable', 'accessible', 'program', ',', 'include', 'function', 'file', '.', 'global', 'scope', ',', 'mean', 'access', 'modify', 'program', '.', 'hand', ',', 'static', 'int', 'declaration', 'limit', 'visibility', 'variable', '.', 'declare', 'inside', 'function', ',', 'create', 'local', 'variable', 'retain', 'value', 'function', 'call', '.']"
"['pointer', 'c']","['pointer', 'variable', 'store', 'point', 'variable', 'address', '.', 'value', 'variable', 'store', 'normal', 'variable', ',', 'address', 'variable', 'store', 'pointer', 'variable', '.']","['pointer', 'c', 'language', 'variable', 'store', 'address', 'variable', '.', 'variable', 'type', 'int', ',', 'char', ',', 'array', ',', 'function', ',', 'pointer', '.']","['pointer', 'variable', 'hold', 'memory', 'address', 'variable', '.', 'pointer', 'allow', 'indirectly', 'access', 'manipulate', 'datum', 'refer', 'memory', 'location', 'actual', 'value', '.', 'play', 'crucial', 'role', 'c', 'programming', ',', 'enable', 'dynamic', 'memory', 'allocation', ',', 'efficient', 'memory', 'management', ',', 'implementation', 'datum', 'structure', 'like', 'link', 'list', 'tree', '.']"
"['advantage', 'macro', 'function', '?']","['macro', 'high', '-', 'level', 'copy', '-', 'paste', ',', 'definition', 'place', 'call', '.', 'save', 'lot', 'time', ',', 'time', 'spend', 'pass', 'control', 'new', 'function', 'control', 'callee', 'function', '.', ',', 'downside', 'size', 'compile', 'binary', 'large', 'compile', 'program', 'comparatively', 'run', 'fast', '.']","['macro', 'offer', 'efficiency', ',', 'flexibility', ',', 'inline', 'expansion', ',', 'ability', 'define', 'symbolic', 'constant', '.', 'particularly', 'useful', 'code', 'generation', 'customization', 'task', '.', ',', 'important', 'use', 'macros', 'judiciously', 'consider', 'limitation', 'potential', 'drawback', '.', 'function', ',', 'hand', ',', 'provide', 'modularity', ',', 'type', 'checking', ',', 'code', 'reuse', ',', 'make', 'suitable', 'complex', 'logic', 'situation', 'runtime', 'flexibility', 'require', '.']","['main', 'benefit', 'macro', 'fast', 'execution', 'time', '.', 'preprocessing', ',', 'macro', 'expand', '(', 'replace', 'definition', ')', 'inline', 'time', '.', 'function', 'definition', 'occur', 'regardless', 'time', 'call', '.']"
"['enumeration', '?']","['enumeration', ',', 'know', 'enum', 'c', ',', 'user', '-', 'define', 'data', 'type', '.', 'consist', 'constant', 'integral', 'integer', 'name', 'assign', 'user', '.', 'integer', 'value', 'name', 'enum', 'c', ',', 'program', 'simple', 'learn', ',', 'understand', ',', 'maintain', 'different', 'programmer', '.']","['enum', 'c', 'special', 'kind', 'data', 'type', 'define', 'user', '.', 'consist', 'constant', 'integral', 'integer', 'give', 'name', 'user', '.', 'use', 'enum', 'c', 'integer', 'value', 'make', 'entire', 'program', 'easy', 'learn', ',', 'understand', ',', 'maintain', 'different', 'programmer', '.']","['enumeration', ',', 'know', 'enum', ',', 'user', '-', 'define', 'datum', 'type', 'c', 'allow', 'define', 'set', 'name', 'constant', '.', 'enum', 'provide', 'way', 'associate', 'meaningful', 'name', 'set', 'related', 'value', ',', 'make', 'code', 'readable', 'maintainable', '.']"
"['specify', 'different', 'type', 'control', 'statement', '?']","['statement', 'write', 'program', 'execute', '.', 'control', 'statement', 'execute', '/', 'transfer', 'control', 'program', 'depend', 'condition', ',', 'example', 'control', 'statement', '-', 'statement', 'include', ':', '-', 'statement', 'nestle', '-', 'statement', ',', 'switch', 'statement', '.']","['conditional', 'statement', ':', 'statement', ',', '-', 'statement', ',', 'nest', '-', 'statement', '.', 'loop', 'statement', ':', 'loop', ',', 'loop', ',', '-', 'loop', ',', 'nest', 'loop', '.', 'switch', 'statement', ':', 'switch', 'case', '.', 'jump', 'statement', ':', 'break', 'statement', ',', 'continue', 'statement', 'goto', 'statement']","['decision', '-', 'make', 'control', 'statement', ',', 'conditional', 'statement', ',', 'goto', 'statement', 'loop', 'control', 'statement']"
"['r', '-', 'value', 'l', '-', 'value']","['term', 'r', '-', 'value', 'refer', 'data', 'value', 'store', 'memory', 'give', 'address', '.', 'r', '-', 'value', 'expression', 'value', 'assign', ',', 'term', 'l', '-', 'value', 'refer', 'memory', 'location', 'identify', 'object', '.']","['l', '-', 'value', 'refer', 'memory', 'location', 'identify', 'object', '.', 'l', '-', 'value', 'appear', 'leave', 'hand', 'right', 'hand', 'assignment', 'operator', ""'"", '=', ""'"", '.', 'l', '-', 'value', 'represent', 'identifier', '.', '  ', 'r', '-', 'value', 'refer', 'data', 'value', 'store', 'address', 'memory', '.', 'r', '-', 'value', 'expression', ',', 'value', 'assign', ',', 'mean', 'r', '-', 'value', 'appear', 'right', 'left', 'hand', 'assignment', 'operator', ""'"", '=', ""'"", '.']","['l', '-', 'value', 'refer', 'expression', 'represent', 'object', 'specific', 'memory', 'location', 'assign', 'value', '.', 'refer', 'left', '-', 'hand', 'assignment', 'operator', '.', 'example', 'l', '-', 'value', 'include', 'variable', ',', 'array', 'element', ',', 'dereference', 'pointer', '.', '  ', 'r', '-', 'value', ',', 'hand', ',', 'refer', 'expression', 'represent', 'value', 'memory', 'location', '.', 'refer', 'right', '-', 'hand', 'assignment', 'operator', '.', 'example', 'r', '-', 'value', 'include', 'literal', 'value', ',', 'arithmetic', 'expression', ',', 'result', 'function', '.']"
"['difference', 'struct', 'union', 'c']","['struct', 'group', 'complex', 'datum', 'structure', 'store', 'block', 'memory', 'member', 'block', 'get', 'separate', 'memory', 'location', 'accessible', '.', 'union', ',', 'member', 'variable', 'store', 'location', 'memory', 'result', 'assign', 'value', 'member', 'variable', 'change', 'value', 'member', '.']","['structure', 'want', 'group', 'multiple', 'relate', 'variable', ',', 'union', 'want', 'share', 'memory', 'space', 'different', 'type', 'datum', '.', 'structure', 'allow', 'simultaneous', 'access', 'member', ',', 'union', 'allow', 'access', 'active', 'member', '.']","['case', 'structure', ',', 'specific', 'memory', 'location', 'input', 'data', 'member', '.', ',', 'store', 'multiple', 'value', 'member', '.', 'case', 'union', ',', 'allocation', 'share', 'memory', 'input', 'datum', 'member', '.', ',', 'store', 'value', 'time', 'member', '.']"
"['reference', 'function']","['caller', 'function', 'make', 'function', 'bypass', 'address', 'actual', 'parameter', 'pass', ',', 'call', 'reference', '.', 'incall', 'reference', ',', 'operation', 'perform', 'formal', 'parameter', 'affect', 'value', 'actual', 'parameter', 'operation', 'perform', 'value', 'store', 'address', 'actual', 'parameter', '.']","['c', 'programming', ',', '""', 'reference', '""', 'method', 'pass', 'argument', 'function', '.', 'function', 'call', 'argument', 'pass', 'reference', ',', 'actual', 'memory', 'address', 'variable', 'pass', 'function', 'instead', 'value', '.', 'allow', 'function', 'directly', 'access', 'modify', 'original', 'variable', 'call', 'code', '.']","['reference', 'method', 'pass', 'argument', 'function', 'copy', 'address', 'argument', 'formal', 'parameter', '.', 'inside', 'function', ',', 'address', 'access', 'actual', 'argument', '.', 'mean', 'change', 'parameter', 'affect', 'pass', 'argument', '.', 'pass', 'argument', 'reference', ',', 'need', 'use', 'pointer', 'c.', 'pointer', 'variable', 'store', 'memory', 'address', '.']"
"['pass', 'reference', 'function']","['pass', 'reference', ',', 'callee', 'receive', 'address', 'make', 'copy', 'address', 'argument', 'formal', 'parameter', '.', 'callee', 'function', 'use', 'address', 'access', 'actual', 'argument', '(', 'manipulation', ')', '.', 'callee', 'function', 'change', 'value', 'address', 'pass', 'address', 'visible', 'caller', 'function', '.']","['pass', 'reference', 'refer', 'method', 'pass', 'address', 'argument', 'call', 'function', 'correspond', 'parameter', 'call', 'function', '.', 'c', ',', 'corresponding', 'parameter', 'call', 'function', 'declare', 'pointer', 'type', '.']","['pass', 'reference', 'mechanism', 'pass', 'argument', 'function', 'actual', 'memory', 'address', 'variable', 'pass', 'instead', 'value', '.', 'allow', 'function', 'directly', 'access', 'modify', 'original', 'variable', 'call', 'code', '.', 'achieve', 'pass', 'reference', ',', 'need', 'use', 'pointer', 'c.']"
"['memory', 'leak', 'avoid']","['assign', 'variable', 'take', 'space', 'ram', 'dependent', 'size', 'datum', 'type', ',', ',', 'programmer', 'use', 'memory', 'available', 'heap', 'forget', 'free', ',', 'point', 'memory', 'available', 'ram', 'occupy', 'memory', 'leave', 'lead', 'memory', 'leak', '.', 'avoid', 'memory', 'leak', ',', 'trace', 'memory', 'allocation', 'think', 'forward', ',', 'want', 'free', 'memory', 'place', '.']","['memory', 'leak', 'c', 'specific', 'kind', 'resource', 'leak', 'happen', 'computer', 'software', 'program', 'poorly', 'handle', 'memory', 'allocation', 'fail', 'free', 'memory', 'long', 'require', '.', 'memory', 'leak', 'occur', 'variable', '/', 'object', 'keep', 'memory', 'accessible', 'program', 'run', '.', 'tip', 'avoid', 'memory', 'leak', ':', 'free', '(', ')', 'function', 'statement', 'associate', 'malloc', '(', ')', 'calloc', '(', ')', 'function', 'statement', 'avoid', 'modify', 'original', 'pointer', ',', 'use', 'temporary', 'pointer', '.']","['memory', 'leak', 'occur', 'computer', 'program', 'dynamically', 'allocate', 'memory', 'properly', 'deallocate', ',', 'lead', 'loss', 'memory', 'resource', '.', 'happen', 'program', 'dynamically', 'allocate', 'memory', 'function', 'like', 'malloc', '(', ')', 'calloc', '(', ')', 'fail', 'release', 'free', '(', ')', ',', 'result', 'memory', 'long', 'accessible', 'usable', '.', 'avoid', 'memory', 'leak', ',', 'important', 'follow', 'practice', ':', 'allocate', 'memory', 'mindfully', ',', 'track', 'allocate', 'memory', ',', 'free', 'memory', 'long', 'need', ',', 'cautious', 'pointer', ',', 'use', 'tool', 'memory', 'management', 'test', 'debug', '.']"
['typedef'],"['typedef', 'c', 'keyword', ',', 'define', 'alia', '/', 'synonyms', 'exist', 'type', 'c', 'language', '.', 'case', ',', 'use', 'typedef', 'simplify', 'exist', 'type', 'declaration', 'syntax', '.', 'provide', 'specific', 'descriptive', 'name', 'type', '.', 'typedef', 'provide', 'alia', 'exist', 'complex', 'type', 'definition', '.', 'typedef', ',', 'simply', 'create', 'alia', 'type', '.', 'simple', 'integer', 'complex', 'function', 'pointer', 'structure', 'declaration', ',', 'typedef', 'shorten', 'code', '.']","['typedef', 'keyword', 'c', 'programming', 'provide', 'meaningful', 'name', 'exist', 'variable', 'c', 'program', '.', 'behave', 'similarly', 'define', 'alia', 'command', '.', 'short', ',', 'keyword', 'redefine', 'exist', 'variable', '.']","['c', 'programming', ',', 'typedef', 'keyword', 'create', 'new', '(', 'alias', ')', 'exist', 'datum', 'type', '.', 'allow', 'define', 'new', 'exist', 'datum', 'type', ',', 'make', 'code', 'readable', 'provide', 'level', 'abstraction', '.']"
"['difference', '#', 'include', '""', '...', '""', '#', 'include', '<', '...', '>']","['practice', ',', 'difference', 'location', 'preprocessor', 'search', 'include', 'file', '.', '#', 'include', '<', 'filename', '>', 'c', 'preprocessor', 'look', 'filename', 'predefine', 'list', 'system', 'directory', 'directory', 'tell', 'user', '.', '#', 'include', '""', 'filename', '""', 'preprocessor', 'search', 'directory', 'file', 'contain', 'directive', ',', 'follow', 'search', 'path', '#', 'include', '<', 'filename', '>', 'form', '.', 'method', 'normally', 'include', 'programmer', '-', 'define', 'header', 'file', '.']","['difference', 'form', 'location', 'preprocessor', 'search', 'file', 'include', '.', '#', 'include', '<', '...', '>', 'preprocessor', 'search', 'implementation', '-', 'dependent', 'manner', ',', 'search', 'directory', 'pre', '-', 'designate', 'compiler', '.', 'method', 'usually', 'include', 'standard', 'library', 'header', 'file', '.', 'hand', '#', 'include', '""', '...', '""', 'preprocessor', 'search', 'directory', 'file', 'contain', 'directive', '.', 'fail', ',', 'start', 'behave', 'like', '#', 'include', '<', 'filename', '>', 'form', '.', 'method', 'usually', 'include', 'header', 'file', '.']","['key', 'difference', 'form', 'search', 'order', 'location', 'preprocessor', 'look', 'header', 'file', '.', '#', 'include', '""', '...', '""', 'give', 'priority', 'local', 'header', 'file', 'current', 'directory', 'project', '-', 'specific', 'directory', ',', '#', 'include', '<', '...', '>', 'include', 'standard', 'library', 'header', 'file', '.']"
"['near', 'pointer', 'c']","['general', ',', 'near', 'pointer', 'consider', 'hold', 'address', ',', 'maximum', 'size', '16', 'bit', '.', 'store', 'address', 'size', 'large', '16', 'bit', 'near', 'pointer', '.', 'small', 'address', '16', '-', 'bit', 'limit', ',', 'hand', ',', 'store', '.', 'access', '64', 'kb', 'data', 'time', ',', 'assume', '16', 'bit', 'insufficient', '.', 'result', ',', 'regard', 'near', '-', 'pointer', 'big', 'drawback', ',', 'long', 'commonly', '.']","['term', '""', 'near', 'pointer', '""', 'standard', 'commonly', 'concept', '.', 'segment', 'memory', 'model', ',', 'memory', 'space', 'divide', 'segment', ',', 'pointer', 'classify', 'near', 'far', 'depend', 'segment', 'access', '.', 'near', 'pointer', 'access', 'memory', 'segment', '.']","['pointer', 'work', 'range', '64', 'kb', 'data', 'segment', 'memory', '.', 'access', 'address', 'data', 'segment', '.', 'near', 'pointer', 'incremente', 'decremented', 'address', 'range', 'arithmetic', 'operator', '.']"
"['far', 'pointer', 'c']","['far', 'pointer', 'consider', 'pointer', 'size', '32', 'bit', '.', ',', ',', 'use', 'current', 'segment', 'access', 'information', 'store', 'outside', 'computer', 'memory', '.', ',', 'order', 'use', 'type', 'pointer', ',', 'usually', 'need', 'allocate', 'sector', 'register', 'store', 'datum', 'address', 'current', 'segment', '.']","['segment', 'memory', 'model', ',', 'memory', 'divide', 'segment', ',', 'pointer', 'classify', 'near', 'far', 'base', 'ability', 'access', 'memory', 'segment', '.', 'far', 'pointer', 'access', 'memory', 'location', 'different', 'segment', ',', 'allow', 'large', 'addressable', 'memory', 'space', '.']","['far', 'pointer', '32', '-', 'bit', 'pointer', ',', 'access', 'information', 'outside', 'computer', 'memory', 'give', 'segment', '.', 'use', 'pointer', ',', 'allocate', '/', 'sector', 'register', 'store', 'datum', 'address', 'segment', 'sector', 'register', 'store', 'recent', 'sector', '.']"
"['global', 'variable', 'local', 'variable', ',', 'possible', 'access', 'global', 'variable', 'block', 'local', 'variable', 'define', '?']","['.', 'possible', 'c.', 'local', 'variable', 'get', 'preference', '.']","['global', 'local', 'variable', 'scope', ',', 'mean', 'accessible', ',', 'time', ',', 'code', 'access', 'local', 'variable', '.']","['yes', ',', 'possible', 'access', 'global', 'variable', 'block', 'local', 'variable', 'define', ',', '.', 'local', 'variable', 'define', 'global', 'variable', ',', 'create', 'new', 'local', 'variable', '""', 'shadow', '""', 'override', 'global', 'variable', 'block', '.', ',', 'want', 'access', 'global', 'variable', 'explicitly', 'block', ',', 'use', 'scope', 'resolution', 'operator', ""'"", ':', ':', ""'"", 'follow', 'variable', '.', 'allow', 'differentiate', 'local', 'global', 'variable', '.']"
"['overide', 'define', 'macro']","['override', 'define', 'macro', 'use', '#', 'ifdef', '#', 'undef', 'preprocessor', ',', '#', 'ifdef', 'find', 'macro', 'define', ',', '#', 'undef', 'undefine', 'define', 'macro', ',', '#', 'endif', 'signal', 'end', '#', 'ifdef', ',', '#', 'define', 'define', 'macro']","['override', 'exist', 'macro', ',', 'need', 'undefine', 'exist', 'macro', '""', '#', 'undef', '""', '.', ',', 'need', 'define', 'macro', 'new', 'value', '.']","['use', '#', 'undef', 'directive', 'undefine', 'macro', 'redefine', 'different', 'value', 'behavior', '.', 'approach', 'allow', 'change', 'definition', 'macro', 'different', 'point', 'code', '.', ',', 'mind', 'affect', 'entire', 'program', ',', 'specific', 'portion', 'use', 'conditional', 'compilation', 'directive', 'like', '#', 'ifdef', ',', '#', 'ifndef', ',', '#', ',', '#', 'endif', 'selectively', 'include', 'exclude', 'part', 'code', 'base', 'certain', 'condition', '.']"
"['determine', 'link', 'list', 'circular']","['simple', 'way', 'determine', 'link', 'list', 'circular', 'traverse', 'link', 'list', 'check', 'node', 'point', 'head', ',', 'circular', 'link', 'list', '.']","['node', 'pointing', 'null', 'node', 'link', 'list', 'point', 'head', 'start', 'node', ',', 'link', 'list', 'circular', '.']","['determine', 'link', 'list', 'circular', ',', 'use', 'floyd', 'cycle', '-', 'find', 'algorithm', ',', 'know', 'tortoise', 'hare', 'algorithm', '.']"
"['use', 'semicolon', '(', ';)', 'end', 'program', 'statement', '?']","['majorly', 'relate', 'compiler', 'read', '(', 'parse', ')', 'entire', 'code', 'break', 'set', 'instructions(or', 'statement', ')', ',', 'semicolon', 'c', 'act', 'boundary', 'set', 'instruction', '.']","['c', ',', 'semicolon', 'statement', 'terminator', '.', 'signifie', 'end', 'statement', ',', 'indicate', 'statement', 'complete', '.', 'necessary', 'include', 'semicolon', 'end', 'program', 'statement', 'separate', 'statement', '.', 'allow', 'compiler', 'properly', 'parse', 'interpret', 'code', ',', 'ensure', 'statement', 'execute', 'individually', '.']","['semicolon', 'act', 'delimiter', ',', 'compiler', 'know', 'statement', 'end', ',', 'proceed', 'divide', 'statement', 'small', 'element', 'syntax', 'checking', '.']"
"['function', 'main', '(', ')', '?']","['function', 'main', '(', ')', ',', 'pragma', 'startup', 'directive', '.']","['approach', 'use', 'constructor', 'function', ',', 'special', 'function', 'execute', 'automatically', 'main', '(', ')', 'program', 'start', '.', 'constructor', 'function', 'define', 'compiler', '-', 'specific', 'attribute', 'linker', 'script', '.']","['approach', 'create', 'function', 'attribute', 'constructor', ',', 'execute', 'function', 'main', '(', ')']"
"['difference', 'macro', 'function']","['macro', 'preprocesse', 'compile', ',', 'code', 'length', 'increase', 'fast', 'execution', 'useful', 'small', 'piece', 'code', 'multiple', 'times', 'program', '.', 'function', 'hand', 'compile', 'preprocesse', ',', 'check', 'compilation', 'error', 'code', 'length', 'remain', ',', 'bit', 'slow', 'execution', 'relatively', 'useful', 'large', 'piece', 'code', 'repeatedly', '.']","['macro', 'expand', '(', 'replace', 'definition', ')', 'inline', 'time', '.', 'function', 'definition', 'occur', 'regardless', 'time', 'call', '.', 'macro', 'increase', 'code', 'size', 'overhead', 'associate', 'function', 'call', '.']","['macro', 'provide', 'text', '-', 'base', 'substitution', 'preprocessor', 'level', ',', 'function', 'separate', 'code', 'entity', 'execute', 'runtime', 'type', 'check', 'well', 'debugging', 'capability', '.', 'function', 'generally', 'prefer', 'programming', 'task', 'maintainability', ',', 'debug', 'support', ',', 'type', 'safety', '.', 'macro', 'specific', 'compile', '-', 'time', 'code', 'generation', 'textual', 'substitution', 'require', '.']"
"['s', 'difference', 'source', 'code', 'object', 'code']","['difference', 'source', 'code', 'object', 'code', 'source', 'code', 'collection', 'computer', 'instruction', 'write', 'human', '-', 'readable', 'programming', 'language', 'object', 'code', 'sequence', 'statement', 'machine', 'language', ',', 'output', 'compiler', 'assembler', 'converts', 'source', 'code', '.']","['source', 'code', 'human', '-', 'readable', 'form', 'program', 'write', 'programmer', ',', 'object', 'code', 'compile', 'form', 'source', 'code', 'execute', 'computer', '.', 'source', 'code', 'write', 'high', '-', 'level', 'programming', 'language', ',', 'object', 'code', 'machine', '-', 'readable', 'binary', 'format', 'specific', 'target', 'platform', '.']","['source', 'code', 'generally', 'understand', 'mean', 'programming', 'statement', 'create', 'programmer', 'text', 'editor', 'visual', 'programming', 'tool', 'save', 'file', '.', 'object', 'code', 'generally', 'refer', 'output', ',', 'compile', 'file', ',', 'produce', 'source', 'code', 'compile', 'c', 'compiler', '.']"
